Rk,Team,Inning,G,Runs,PA,AB,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
91,SDP,5,119,88,555,496,144,37,4,17,85,8,3,46,91,0.29,0.359,0.484,0.843,240,2,9,0,4,2,4,0.324,140,128
92,COL,6,118,87,549,497,152,27,5,15,82,4,0,44,99,0.306,0.365,0.471,0.836,234,10,4,1,3,2,4,0.355,128,132
93,SFG,2,116,87,524,462,134,29,5,25,83,6,1,40,121,0.29,0.358,0.537,0.894,248,11,13,1,8,0,3,0.336,147,159
94,HOU,5,118,85,530,481,141,27,1,25,82,7,0,38,96,0.293,0.348,0.509,0.857,245,5,5,1,5,1,3,0.318,130,131
95,LAD,1,115,82,518,470,134,31,0,22,77,9,0,41,109,0.285,0.346,0.492,0.837,231,4,4,0,3,0,2,0.328,112,126
96,LAD,8,115,81,521,462,128,27,5,16,78,5,2,54,109,0.277,0.353,0.461,0.814,213,9,2,0,3,2,3,0.329,107,139
97,LAD,2,115,80,510,444,117,35,0,21,79,5,2,53,129,0.264,0.345,0.484,0.829,215,10,6,0,7,1,2,0.319,110,141
98,NYY,1,117,80,507,443,114,29,0,30,76,6,2,52,91,0.257,0.345,0.526,0.871,233,14,9,0,3,0,2,0.259,127,134
99,NYY,5,117,79,505,458,122,27,2,28,79,9,2,39,109,0.266,0.327,0.518,0.844,237,11,4,0,4,2,6,0.289,119,126
100,COL,7,118,78,517,467,134,24,1,15,76,3,1,38,94,0.287,0.345,0.439,0.784,205,15,6,1,5,1,3,0.328,114,125
101,NYM,6,117,77,516,460,128,28,3,16,73,3,2,40,101,0.278,0.345,0.457,0.802,210,8,9,3,4,2,1,0.323,118,122
102,LAD,3,115,75,508,454,122,34,2,23,73,12,3,47,113,0.269,0.341,0.504,0.845,229,5,4,0,3,0,2,0.308,113,133
103,STL,1,115,75,508,451,125,23,3,20,69,7,3,44,107,0.277,0.343,0.475,0.817,214,7,5,0,8,0,2,0.316,120,121
104,CHC,1,115,74,497,434,115,28,2,20,70,9,14,46,128,0.265,0.349,0.477,0.826,207,7,12,0,4,0,5,0.328,131,124
105,HOU,1,118,74,520,451,113,22,0,29,73,6,3,56,93,0.251,0.344,0.492,0.836,222,9,9,2,2,0,1,0.254,124,126
106,MIN,1,115,74,516,459,127,26,1,24,72,2,3,52,113,0.277,0.351,0.495,0.845,227,11,2,0,3,0,8,0.317,128,129
107,ATL,3,118,73,514,463,125,26,3,26,70,5,2,43,134,0.27,0.337,0.508,0.844,235,9,5,0,3,0,2,0.324,120,133
108,BAL,3,116,73,501,456,124,32,0,24,72,13,5,30,89,0.272,0.324,0.5,0.824,228,7,7,2,4,0,2,0.288,133,127
109,MIL,5,115,73,519,457,119,21,0,25,71,12,3,52,129,0.26,0.345,0.471,0.815,215,8,8,0,2,2,5,0.308,123,121
110,NYM,1,117,73,531,469,129,18,1,15,69,13,3,45,109,0.275,0.348,0.414,0.762,194,10,11,0,6,0,8,0.325,108,108
111,NYM,3,117,73,504,458,123,28,1,18,70,3,2,36,87,0.269,0.326,0.452,0.778,207,9,5,1,4,0,5,0.294,111,116
112,TOR,3,115,73,509,456,125,25,1,17,71,4,3,43,93,0.274,0.344,0.445,0.789,203,12,7,0,3,0,5,0.31,109,120
113,ATL,5,118,72,508,469,126,23,2,29,67,13,2,31,122,0.269,0.323,0.512,0.835,240,12,7,0,1,0,4,0.304,116,124
114,MIA,7,117,72,518,460,117,34,0,14,66,13,3,42,109,0.254,0.332,0.42,0.752,193,6,13,0,3,2,6,0.303,125,116
115,NYY,8,117,72,526,449,105,16,0,22,70,15,1,65,129,0.234,0.34,0.417,0.757,187,5,9,0,3,2,4,0.276,100,122
116,PHI,3,116,72,504,451,121,20,4,17,69,13,2,46,100,0.268,0.335,0.444,0.779,200,13,2,0,5,0,4,0.307,112,116
117,TOR,6,115,71,497,452,125,21,1,23,71,4,1,35,115,0.277,0.334,0.48,0.814,217,12,6,0,4,1,3,0.321,114,124
118,WSN,6,117,71,502,453,135,23,1,23,68,0,1,34,79,0.298,0.352,0.506,0.858,229,19,7,2,6,2,1,0.314,146,136
119,BOS,8,117,70,512,458,117,28,3,9,66,10,1,40,127,0.256,0.32,0.389,0.709,178,6,6,3,5,1,5,0.33,98,109
120,CIN,8,114,70,492,434,112,20,0,15,68,4,3,42,122,0.258,0.333,0.408,0.741,177,12,9,2,4,0,4,0.322,116,118
121,KCR,8,118,70,516,456,122,26,0,15,69,7,1,44,121,0.268,0.332,0.423,0.755,193,13,4,4,8,1,6,0.326,119,122
122,LAD,7,115,70,520,446,123,22,5,14,66,9,3,57,99,0.276,0.358,0.442,0.8,197,8,6,0,10,4,4,0.318,105,130
123,NYY,3,117,70,495,440,109,19,2,24,70,5,4,48,115,0.248,0.326,0.464,0.79,204,11,4,1,2,0,1,0.281,107,118
124,PHI,6,115,70,506,451,121,21,4,24,68,7,2,44,118,0.268,0.335,0.492,0.828,222,6,4,2,5,3,1,0.309,123,128
125,SEA,4,118,70,524,461,120,25,2,15,65,7,2,51,92,0.26,0.338,0.421,0.759,194,6,6,0,6,1,3,0.292,118,114
126,STL,6,115,70,518,458,122,26,0,18,68,10,1,51,110,0.266,0.344,0.441,0.785,202,8,5,0,4,0,3,0.311,112,118
127,ATL,2,118,69,505,456,117,28,1,15,65,4,1,38,118,0.257,0.319,0.421,0.74,192,8,6,0,5,0,2,0.311,95,116
128,COL,3,118,69,499,441,117,19,5,12,67,3,2,44,71,0.265,0.343,0.413,0.755,182,23,10,0,4,0,5,0.29,107,111
129,TBR,1,115,69,514,450,114,21,0,17,64,5,0,55,114,0.253,0.342,0.413,0.756,186,5,7,0,2,0,3,0.302,122,106
130,TEX,4,116,69,480,434,105,18,1,18,67,10,4,34,101,0.242,0.299,0.412,0.712,179,5,4,2,6,2,2,0.271,102,99
131,TOR,5,115,69,499,465,129,32,1,17,67,6,3,26,95,0.277,0.321,0.46,0.782,214,5,5,0,2,1,2,0.316,105,111
132,ATL,7,118,68,513,457,110,21,0,18,65,11,2,50,141,0.241,0.322,0.405,0.726,185,7,5,0,1,3,2,0.308,92,109
133,LAD,4,115,68,506,447,118,27,3,12,62,8,1,50,102,0.264,0.343,0.418,0.761,187,11,5,1,3,0,5,0.316,95,115
134,TEX,5,116,68,501,455,129,22,1,19,66,11,4,32,103,0.284,0.331,0.462,0.793,210,4,5,0,9,1,3,0.322,126,114
135,NYM,5,117,67,513,456,121,26,5,9,64,5,3,41,92,0.265,0.333,0.404,0.737,184,7,8,3,5,5,3,0.311,101,101
136,SEA,1,118,67,501,438,110,18,1,20,65,4,4,50,87,0.251,0.339,0.434,0.773,190,8,10,0,3,0,1,0.27,122,110
137,CHW,8,117,66,512,458,117,20,2,10,63,6,1,49,102,0.256,0.327,0.373,0.7,171,9,1,1,3,3,4,0.307,101,106
138,CLE,3,117,66,510,463,128,24,4,11,64,8,3,34,85,0.277,0.33,0.417,0.747,193,5,6,1,6,1,2,0.314,113,108
139,NYY,7,117,66,500,437,94,17,1,16,59,10,2,49,117,0.215,0.304,0.368,0.672,161,11,7,4,1,2,9,0.256,78,93
140,PHI,4,116,66,501,468,130,16,1,26,66,10,1,29,89,0.278,0.323,0.483,0.806,226,11,3,0,1,0,4,0.294,117,125
141,SDP,6,119,66,510,454,115,28,1,12,65,4,3,40,102,0.253,0.318,0.399,0.717,181,8,6,3,6,0,3,0.298,104,99
142,ATL,6,118,65,496,448,109,34,1,18,64,3,2,39,110,0.243,0.307,0.444,0.751,199,7,4,0,5,0,2,0.28,96,107
143,BOS,4,117,65,511,466,134,35,0,15,62,4,2,33,104,0.288,0.333,0.459,0.793,214,14,3,1,8,2,5,0.335,119,122
144,CHC,2,115,65,488,440,111,22,2,17,62,9,1,43,110,0.252,0.322,0.427,0.749,188,16,3,0,2,0,3,0.298,109,118
145,CLE,1,117,65,504,461,127,24,5,11,61,13,4,38,79,0.276,0.331,0.421,0.752,194,12,2,0,3,1,8,0.31,115,105
146,COL,5,118,65,522,474,142,26,4,13,63,4,4,38,93,0.3,0.352,0.454,0.806,215,15,3,1,5,0,2,0.346,120,119
147,HOU,6,118,65,519,451,109,29,2,18,61,7,2,56,91,0.242,0.331,0.435,0.765,196,9,6,2,4,1,4,0.263,107,112
148,STL,4,115,65,495,449,118,27,1,15,63,11,4,37,86,0.263,0.324,0.428,0.752,192,9,5,0,3,2,4,0.293,103,111
149,ARI,8,115,64,499,433,100,17,2,12,59,10,0,51,106,0.231,0.324,0.363,0.687,157,12,10,2,3,2,5,0.277,99,103
150,BAL,6,116,64,496,449,110,20,2,17,63,5,3,38,106,0.245,0.31,0.412,0.722,185,10,5,1,2,0,5,0.284,106,100
151,BOS,2,117,64,502,454,123,28,1,20,62,1,3,40,109,0.271,0.335,0.469,0.805,213,16,5,1,2,0,5,0.315,123,134
152,CIN,3,115,64,485,436,118,21,4,11,63,6,6,37,123,0.271,0.335,0.413,0.748,180,14,7,2,3,1,1,0.351,118,109
153,HOU,2,118,64,504,464,125,28,0,21,64,13,2,34,108,0.269,0.321,0.466,0.787,216,12,3,0,3,0,3,0.308,111,128
154,ARI,6,116,63,493,440,102,22,2,22,60,12,1,44,108,0.232,0.305,0.441,0.746,194,8,4,1,4,0,4,0.255,113,106
155,BAL,5,116,63,502,455,126,37,1,9,56,9,3,33,110,0.277,0.329,0.422,0.751,192,9,6,0,8,1,3,0.34,115,104
156,CHC,4,115,63,503,455,121,25,2,16,60,3,1,40,110,0.266,0.335,0.435,0.77,198,9,7,1,0,0,5,0.319,116,117
157,CLE,2,117,63,503,458,121,27,1,10,61,6,2,30,93,0.264,0.322,0.393,0.715,180,15,11,0,4,1,5,0.309,104,110
158,COL,1,118,63,524,476,126,29,3,16,59,3,1,40,128,0.265,0.326,0.439,0.765,209,4,4,2,2,1,7,0.329,108,107
159,MIL,1,115,63,490,435,105,22,2,21,61,9,4,42,102,0.241,0.318,0.446,0.764,194,11,9,0,4,0,3,0.266,109,107
160,MIN,3,115,63,494,441,111,23,2,18,63,1,0,44,104,0.252,0.325,0.435,0.76,192,7,5,1,3,0,2,0.289,105,111
161,MIN,5,115,63,502,441,116,26,0,19,59,2,2,44,97,0.263,0.339,0.451,0.79,199,11,9,3,5,1,1,0.294,113,114
162,NYY,4,117,63,510,454,114,13,1,22,59,8,1,47,106,0.251,0.325,0.43,0.754,195,9,4,2,3,3,2,0.28,99,112
163,PHI,2,116,63,493,451,110,24,3,12,59,9,1,34,111,0.244,0.302,0.39,0.692,176,4,5,0,3,0,4,0.296,89,102
164,TOR,2,115,63,481,438,112,24,1,17,59,5,3,34,101,0.256,0.314,0.432,0.745,189,13,4,2,2,0,4,0.295,97,117
165,CHW,7,117,62,513,473,136,18,1,15,59,4,1,31,109,0.288,0.337,0.425,0.762,201,10,5,3,1,0,4,0.346,118,119
166,CIN,5,115,62,485,433,110,26,1,17,57,7,1,37,105,0.254,0.316,0.437,0.753,189,13,5,2,6,0,1,0.293,118,103
167,KCR,3,118,62,507,462,132,29,4,12,60,11,3,37,79,0.286,0.341,0.444,0.784,205,12,3,2,3,0,1,0.321,127,118
168,TOR,1,115,62,482,439,116,29,1,19,62,7,4,39,99,0.264,0.326,0.465,0.79,204,14,2,0,2,0,1,0.3,108,114
169,WSN,1,118,62,515,454,115,22,2,7,55,7,2,49,102,0.253,0.333,0.357,0.69,162,13,7,0,3,0,4,0.31,101,90
170,ARI,4,116,61,489,432,105,25,3,15,57,6,2,46,102,0.243,0.318,0.419,0.737,181,10,4,2,5,1,3,0.281,112,107
171,BOS,6,117,61,496,444,110,28,0,16,58,4,1,42,115,0.248,0.315,0.419,0.734,186,7,4,1,5,1,3,0.296,104,103
172,HOU,4,118,61,500,453,111,22,2,18,59,4,2,42,79,0.245,0.31,0.422,0.732,191,6,2,0,3,0,2,0.259,97,105
173,LAA,1,117,61,500,451,112,19,2,19,57,4,3,46,126,0.248,0.322,0.426,0.748,192,8,3,0,0,0,3,0.304,121,103
174,LAD,5,115,61,495,442,106,26,3,17,57,14,1,42,106,0.24,0.309,0.428,0.737,189,3,5,0,6,0,2,0.274,87,99
175,MIL,8,115,61,489,433,103,17,0,18,59,5,3,46,128,0.238,0.315,0.402,0.717,174,9,5,0,5,2,2,0.291,97,110
176,MIN,4,115,61,483,439,120,26,2,22,61,2,1,35,95,0.273,0.331,0.492,0.823,216,14,5,0,4,0,1,0.301,121,130
177,PHI,8,115,61,480,441,107,22,0,19,61,6,2,33,112,0.243,0.303,0.422,0.725,186,10,5,1,0,0,3,0.284,97,112
178,MIA,4,117,60,505,461,124,20,4,20,57,5,0,31,117,0.269,0.324,0.46,0.784,212,14,8,0,3,0,4,0.318,133,119
179,MIL,6,115,60,501,438,106,17,2,17,56,8,4,55,123,0.242,0.33,0.406,0.736,178,7,4,1,3,1,3,0.296,103,105
180,MIN,8,115,60,512,454,114,15,2,8,53,9,0,50,125,0.251,0.328,0.346,0.674,157,7,4,0,4,2,5,0.326,85,100
181,SDP,4,119,60,512,455,112,22,2,11,60,6,0,47,106,0.246,0.318,0.376,0.694,171,8,3,2,4,2,2,0.295,98,96
182,SFG,4,116,60,479,431,96,27,1,12,57,5,1,37,92,0.223,0.284,0.374,0.657,161,9,3,0,8,0,4,0.251,83,85
183,SFG,8,116,60,514,440,102,23,0,15,56,13,0,61,113,0.232,0.337,0.386,0.723,170,10,10,0,3,3,3,0.276,103,113
184,STL,2,115,60,495,447,114,30,0,12,57,4,2,35,98,0.255,0.321,0.403,0.724,180,10,10,0,3,0,3,0.3,96,112
185,ATL,4,118,59,503,458,118,28,0,17,55,12,2,38,98,0.258,0.316,0.43,0.746,197,7,3,0,4,0,5,0.291,96,109
186,KCR,7,118,59,499,441,108,22,6,10,58,9,5,44,107,0.245,0.319,0.39,0.709,172,8,7,1,6,1,3,0.297,106,104
187,LAD,6,115,59,499,439,99,23,3,15,56,4,1,54,105,0.226,0.315,0.394,0.709,173,5,4,0,2,2,5,0.262,81,97
188,PIT,3,116,59,499,448,118,31,2,12,55,8,2,42,124,0.263,0.33,0.422,0.752,189,11,4,2,3,0,2,0.337,131,109
189,ARI,7,116,58,499,443,111,20,2,11,57,5,3,48,115,0.251,0.326,0.379,0.705,168,7,3,2,3,2,0,0.313,104,103
190,CIN,1,115,58,499,440,109,23,1,11,58,6,3,41,122,0.248,0.329,0.38,0.709,167,11,14,0,3,0,5,0.316,107,94
191,CLE,7,117,58,509,443,104,14,4,7,54,11,3,54,107,0.235,0.32,0.332,0.651,147,9,4,2,6,3,6,0.29,88,89
192,NYM,4,117,58,498,455,118,24,2,17,55,3,0,34,102,0.259,0.319,0.433,0.752,197,12,7,0,2,2,1,0.299,104,111
193,NYY,6,117,58,495,440,104,17,0,18,54,6,4,42,105,0.236,0.308,0.398,0.705,175,6,6,0,6,0,1,0.266,86,96
194,STL,3,115,58,478,440,110,16,3,16,56,10,4,29,85,0.25,0.303,0.409,0.712,180,7,5,1,2,1,3,0.276,92,98
195,ATL,1,118,57,495,451,116,21,2,27,56,8,9,35,126,0.257,0.321,0.492,0.813,222,9,8,0,1,0,2,0.298,111,119
196,CHC,5,115,57,495,443,121,22,4,16,53,7,1,39,90,0.273,0.337,0.449,0.787,199,12,7,0,6,2,4,0.306,120,113
197,CHW,3,117,57,496,460,116,14,1,14,55,7,0,26,84,0.252,0.297,0.378,0.675,174,8,5,1,4,0,4,0.279,93,88
198,LAA,3,117,57,500,450,115,15,2,20,55,5,4,41,135,0.256,0.322,0.431,0.753,194,7,4,3,2,2,2,0.32,123,109
199,LAA,7,117,57,495,432,98,12,2,19,55,12,1,47,122,0.227,0.314,0.396,0.71,171,10,9,5,2,6,1,0.27,111,104
200,PIT,7,116,57,479,425,99,20,1,16,54,4,4,42,103,0.233,0.305,0.398,0.702,169,7,4,3,5,1,5,0.267,116,102
201,SDP,7,119,57,519,455,112,23,2,11,54,1,2,50,107,0.246,0.325,0.378,0.703,172,9,6,2,6,3,5,0.295,101,103
202,SFG,3,116,57,498,441,98,18,0,13,53,5,0,46,107,0.222,0.307,0.352,0.659,155,8,9,0,2,0,5,0.263,84,85
203,SFG,9,89,57,391,339,92,13,1,16,56,8,1,40,102,0.271,0.361,0.457,0.818,155,6,9,0,3,5,0,0.339,128,144
204,BOS,5,117,56,501,457,121,41,2,8,53,9,2,34,98,0.265,0.321,0.416,0.736,190,8,5,2,3,0,1,0.319,105,100
205,CHW,4,117,56,508,467,135,24,0,12,53,5,0,30,79,0.289,0.341,0.418,0.759,195,16,8,1,2,0,4,0.325,117,114
206,DET,7,119,56,496,450,109,23,3,9,54,9,2,35,127,0.242,0.301,0.367,0.668,165,12,5,1,5,0,5,0.314,117,92
207,HOU,3,118,56,494,429,95,24,1,11,56,5,3,56,84,0.221,0.314,0.359,0.673,154,12,4,0,4,1,2,0.249,83,89
208,MIA,6,117,56,483,433,101,21,3,13,52,11,3,36,105,0.233,0.303,0.386,0.689,167,10,9,1,4,1,1,0.276,106,91
209,NYM,8,117,56,486,436,103,15,4,17,55,4,2,33,92,0.236,0.305,0.406,0.711,177,12,11,4,2,2,2,0.261,93,108
210,PHI,1,116,56,496,446,107,22,4,17,55,8,1,44,117,0.24,0.313,0.422,0.734,188,9,4,0,2,0,4,0.287,100,99
211,SFG,6,116,56,484,430,98,21,0,14,51,6,2,43,135,0.228,0.306,0.374,0.68,161,10,7,0,4,0,3,0.295,90,89
212,STL,5,115,56,497,447,111,24,4,14,56,6,2,43,92,0.248,0.32,0.414,0.734,185,7,5,0,2,1,1,0.283,98,99
213,TOR,8,115,56,489,436,106,21,0,13,55,6,3,41,114,0.243,0.311,0.381,0.692,166,6,4,3,4,2,3,0.297,84,103
214,WSN,8,116,56,495,434,101,28,1,13,56,6,0,44,110,0.233,0.316,0.392,0.707,170,14,10,2,3,2,2,0.28,105,108
215,ATL,8,118,55,491,447,104,21,0,19,53,4,2,36,114,0.233,0.299,0.407,0.707,182,8,7,0,1,0,1,0.27,85,107
216,BAL,7,115,55,494,425,94,20,5,9,51,7,1,53,108,0.221,0.319,0.355,0.674,151,7,10,1,5,0,4,0.272,95,94
217,BAL,8,115,55,492,440,102,28,2,18,52,10,1,42,124,0.232,0.306,0.427,0.733,188,7,6,1,3,1,6,0.279,109,114
218,BOS,1,117,55,500,460,120,24,2,13,53,4,2,32,117,0.261,0.312,0.407,0.719,187,9,4,0,4,0,3,0.32,100,95
219,CHW,5,117,55,497,460,121,35,1,11,54,4,1,25,97,0.263,0.314,0.415,0.729,191,9,10,0,2,0,4,0.311,108,98
220,CLE,4,117,55,492,453,119,25,3,16,53,14,1,29,82,0.263,0.314,0.437,0.751,198,13,6,1,3,0,1,0.288,113,110
221,KCR,6,118,55,518,459,119,22,3,14,53,8,2,53,105,0.259,0.338,0.412,0.75,189,10,3,0,3,1,2,0.306,118,109
